CV Input,Rating
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year AI Intern at 10Pearls, GPA: 3.45, Skills: PyTorch, Computer Vision, GCP, Docker",8.8
"Education: Bachelors of Computer Science at GIKI, Experience: 4 years ML Engineer at KeepTruckin, GPA: 2.61, Skills: Deep Learning, SQL, AWS, Machine Learning, Scikit-learn, Flask, RAG, PyTorch",8.1
"Education: BS in Data Science at Air University, Experience: No professional experience, GPA: 2.63, Skills: Keras, Docker, NLP, LangChain, Java, LLMs, RAG",5.0
"Education: Bachelors of Computer Science at GIKI, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.01, Skills: TensorFlow, HTML, Pandas, Numpy",7.5
"Education: Bachelors of Computer Science at Punjab University, Experience: No professional experience, GPA: 3.92, Skills: CSS, Docker, HTML, Excel, Scikit-learn, Machine Learning, Flask",5.6
"Education: BS in AI at COMSATS, Experience: 2 years Software Developer at Arbisoft, GPA: 2.35, Skills: Numpy, Keras, GCP, Excel, JavaScript, PyTorch, LangChain",6.2
"Education: Bachelors of Computer Science at GIKI, Experience: No professional experience, GPA: 2.18, Skills: RAG, GCP, AWS, CSS",5.0
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year Data Analyst at Daraz, GPA: 3.96, Skills: Pandas, Kubernetes, Docker, SQL, C++",5.6
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Data Scientist at CureMD, GPA: 2.98, Skills: LLMs, Computer Vision, Deep Learning, GANs, AWS, Flask, TensorFlow",6.9
"Education: MS in AI at LUMS, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 3.53, Skills: GANs, HTML, JavaScript, Computer Vision, PowerBI, Excel, Machine Learning",8.8
"Education: Bachelors of Software Engineering at FAST, Experience: 2 years Software Developer at Arbisoft, GPA: 2.05, Skills: HTML, Excel, Keras, GANs, Machine Learning, C++, Java",6.2
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.54, Skills: Java, Flask, SQL, Pandas",5.6
"Education: Bachelors of Computer Science at GIKI, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 3.08, Skills: Deep Learning, Keras, NLP, Pandas, Tableau, Data Science, JavaScript, Computer Vision",8.8
"Education: BS in Data Science at Air University, Experience: 1 year AI Intern at 10Pearls, GPA: 3.14, Skills: Flask, Docker, GCP, GANs, Kubernetes, NLP, Pandas, CSS",6.9
"Education: Bachelors of Computer Science at Punjab University, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 2.65, Skills: Docker, Transformers, Scikit-learn, Django, Excel, PowerBI, RAG, JavaScript",6.2
"Education: Bachelors of Data Science at NUST, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 3.8, Skills: Docker, Python, Scikit-learn, CSS, AWS",8.8
"Education: MS in AI at LUMS, Experience: No professional experience, GPA: 2.8, Skills: Computer Vision, Java, Data Science, Django",6.2
"Education: Bachelors of Computer Science at GIKI, Experience: No professional experience, GPA: 2.61, Skills: PyTorch, Docker, Keras, Excel, LangChain, SQL, Kubernetes, PowerBI",5.6
"Education: BS in Data Science at Air University, Experience: 1 year AI Intern at 10Pearls, GPA: 2.57, Skills: Machine Learning, Transformers, Statistics, LangChain, Tableau",6.9
"Education: Bachelors of Computer Science at GIKI, Experience: Founder of small AI startup (1 year), GPA: 2.14, Skills: Java, GANs, LangChain, Docker, HTML, Numpy, Flask",6.9
"Education: BS in Data Science at Air University, Experience: 1 year AI Intern at 10Pearls, GPA: 2.92, Skills: Computer Vision, Pandas, Django, CSS, Java, Python, GANs, Machine Learning",7.5
"Education: BS in AI at COMSATS, Experience: 1 year Junior Developer at TPS, GPA: 3.41, Skills: Flask, Docker, GCP, GANs, Deep Learning",6.9
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.22, Skills: Docker, Tableau, RAG, NLP, Scikit-learn, Statistics, C++, LLMs",6.2
"Education: MS in AI at LUMS, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 2.61, Skills: Kubernetes, Django, PyTorch, Tableau",6.9
"Education: Bachelors of Data Science at NUST, Experience: No professional experience, GPA: 3.15, Skills: PowerBI, Tableau, C++, AWS, Deep Learning, Kubernetes",5.6
"Education: MS in AI at LUMS, Experience: 3 years Data Scientist at CureMD, GPA: 3.0, Skills: NLP, Excel, PyTorch, Pandas, JavaScript, Scikit-learn",8.1
"Education: BS in AI at COMSATS, Experience: No professional experience, GPA: 3.13, Skills: AWS, SQL, Excel, Java, Flask, Docker",4.4
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.42, Skills: C++, Scikit-learn, GANs, Excel, HTML",4.4
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.74, Skills: C++, GCP, AWS, Pandas, Excel",5.0
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year Data Analyst at Daraz, GPA: 3.02, Skills: GCP, AWS, RAG, Docker, Pandas",5.0
"Education: MS in AI at LUMS, Experience: 1 year Junior Developer at TPS, GPA: 2.31, Skills: NLP, TensorFlow, LangChain, AWS, GCP",6.9
"Education: Bachelors of Data Science at NUST, Experience: No professional experience, GPA: 3.73, Skills: GCP, LLMs, GANs, SQL, Tableau, Deep Learning",6.9
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 3 years Data Scientist at CureMD, GPA: 3.46, Skills: Transformers, Computer Vision, Python, CSS, GANs, Tableau, Excel, LLMs",6.9
"Education: Bachelors of Software Engineering at FAST, Experience: 2 years Software Developer at Arbisoft, GPA: 3.28, Skills: Kubernetes, LLMs, Data Science, Statistics, Flask",6.9
"Education: Bachelors of Data Science at NUST, Experience: Founder of small AI startup (1 year), GPA: 2.97, Skills: TensorFlow, PowerBI, LLMs, GANs, Statistics, LangChain",8.1
"Education: Bachelors of Software Engineering at FAST, Experience: No professional experience, GPA: 2.67, Skills: LLMs, CSS, PowerBI, Excel, LangChain, TensorFlow, HTML",5.6
"Education: Bachelors of Computer Science at Punjab University, Experience: 1 year Junior Developer at TPS, GPA: 2.67, Skills: Flask, Scikit-learn, Excel, SQL, Machine Learning, Docker",5.0
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Founder of small AI startup (1 year), GPA: 2.61, Skills: Machine Learning, LangChain, Keras, Computer Vision",5.6
"Education: BS in AI at COMSATS, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.8, Skills: Excel, LLMs, Scikit-learn, Machine Learning, Computer Vision, Django, Keras, Flask",8.8
"Education: BS in AI at COMSATS, Experience: 3 years Data Scientist at CureMD, GPA: 3.08, Skills: CSS, GCP, Docker, GANs, RAG, Transformers, LangChain, TensorFlow",8.1
"Education: Bachelors of Data Science at NUST, Experience: 1 year AI Intern at 10Pearls, GPA: 2.16, Skills: AWS, SQL, Java, Django, TensorFlow, Machine Learning, Python",7.5
"Education: Bachelors of Data Science at NUST, Experience: 1 year Junior Developer at TPS, GPA: 3.84, Skills: LLMs, GCP, Keras, Transformers",8.1
"Education: Bachelors of Data Science at NUST, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.7, Skills: C++, Java, PowerBI, Computer Vision, Scikit-learn, Data Science, Machine Learning, AWS",7.5
